"Station","Name","Date","Tmax","Tmin"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-27","51","35"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-28","45","33"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-29","53","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-04-30","63","40"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-01","77","49"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-02","85","60"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-03","81","65"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-04","73","47"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-05","69","41"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-06","79","54"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-07","66","35"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-08","63","44"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-09","63","33"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-10","42","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-11","52","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-12","52","36"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-13","46","33"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-14","60","40"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-15","79","52"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-16","63","50"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-17","65","36"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-18","71","45"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-19","56","49"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-20","66","45"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-21","81","48"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-22","83","53"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-23","78","62"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-24","76","55"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-25","79","55"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-26","85","54"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-27","87","57"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-28","86","56"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-29","81","56"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-30","80","50"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-05-31","80","55"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-01","88","65"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-02","77","50"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-03","83","56"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-04","76","59"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-05","78","63"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-06","81","59"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-07","75","43"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-08","66","41"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-09","66","44"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-10","63","51"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-11","70","46"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-12","76","52"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-13","84","64"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-14","69","63"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-15","74","50"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-16","76","53"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-17","74","57"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-18","67","47"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-19","81","53"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-20","84","67"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-21","81","58"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-22","78","54"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-23","74","64"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-24","86","70"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-25","82","58"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-26","80","53"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-27","74","62"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-28","86","68"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-29","78","63"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-06-30","72","42"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-01","69","53"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-02","69","43"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-03","74","48"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-04","87","56"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-05","89","59"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-06","94","66"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-07","93","64"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-08","91","64"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-09","93","71"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-10","88","68"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-11","80","55"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-12","82","59"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-13","85","66"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-14","81","67"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-15","79","60"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-16","86","64"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-17","85","61"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-18","91","67"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-19","83","67"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-20","85","60"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-21","81","62"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-22","82","56"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-23","80","63"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-24","82","64"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-25","89","69"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-26","76","54"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-27","79","54"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-28","83","58"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-29","85","68"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-30","76","51"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-07-31","74","48"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-01","79","54"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-02","80","65"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-03","81","66"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-04","86","67"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-05","88","70"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-06","85","63"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-07","74","51"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-08","76","53"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-09","85","63"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-10","86","67"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-11","85","63"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-12","85","64"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-13","72","54"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-14","80","61"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-15","79","66"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-16","74","67"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-17","85","54"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-18","80","59"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-19","82","61"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-20","84","61"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-21","76","51"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-22","78","63"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-23","66","60"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-24","71","57"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-25","70","57"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-26","71","58"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-27","69","46"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-28","71","47"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-29","81","51"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-30","84","53"
